Vintage,Score,Drink Window,Description,Country,Region,Variety,Vola_Temp,Vola_Rain,Longest_Dry,Longest_Wet,Avg_Rain,Count_above35,Count_under10,Count_under0,Coulure_Wind,June_Rain
2021,94,Drink,Another drought year with low yields; the best wines are fresh and intense,United States,Carneros Valley,California/Chardonnay,0.2220314768977962,6.040308791938731,65.0,3.0,0.075360824742268,3.0,55.0,0.0,11.812903225806451,0.3
2020,93,Drink,"A dry year yielded concentrated, balanced wines; most Chardonnay picked before the wildfires",United States,Carneros Valley,California/Chardonnay,0.2327816165720738,4.757471184196412,107.0,5.0,0.4793814432989691,8.0,44.0,0.0,12.320698924731184,4.05
2019,95,Drink,Warmer weather than in 2018 produced wines with a deep well of fruit and spice flavors,United States,Carneros Valley,California/Chardonnay,0.2174151459475455,5.657207416221747,94.0,3.0,0.2372852233676975,15.0,44.0,0.0,12.041935483870969,33.483333333333334
2018,92,Drink,Nearly ideal conditions delivered wines with concentrated fruit flavors and crunchy acidity,United States,Carneros Valley,California/Chardonnay,0.2231890083389062,6.654705564709487,117.0,5.0,0.2877147766323024,23.0,38.0,0.0,12.608333333333334,0.1666666666666666
2017,94,Drink,Ample winter rain followed by a warm growing season yielded complex and powerful wines,United States,Carneros Valley,California/Chardonnay,0.2180066705130685,7.363841860853322,94.0,2.0,0.0934707903780068,31.0,36.0,0.0,12.26021505376344,0.3
2016,90,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,United States,Carneros Valley,California/Chardonnay,0.1986707686602976,6.264865589287509,119.0,4.0,0.174914089347079,20.0,39.0,0.0,12.353763440860211,0.15
2015,90,Drink,Sonoma strong again in another drought year; elegant and refined in style,United States,Carneros Valley,California/Chardonnay,0.1915247421273105,6.598626729925661,63.0,2.0,0.1162371134020618,17.0,40.0,0.0,12.10215053763441,4.8
2014,92,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",United States,Carneros Valley,California/Chardonnay,0.1847583773190858,5.982530783166682,124.0,5.0,0.1097079037800687,13.0,37.0,0.0,12.23548387096774,0.0
2013,93,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",United States,Carneros Valley,California/Chardonnay,0.1847552182032776,8.081892546424463,109.0,1.0,0.0146907216494845,14.0,40.0,0.0,12.58548387096774,0.0999999999999999
2012,90,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",United States,Carneros Valley,California/Chardonnay,0.2220044631802399,6.610594273561088,69.0,3.0,0.4215635738831615,8.0,55.0,0.0,12.565591397849465,0.0
2011,86,Drink,"Cool and damp, challenging everywhere; best wines are elegant and scaled back",United States,Carneros Valley,California/Chardonnay,0.2382826024556701,6.039984640754108,80.0,4.0,0.3177835051546392,7.0,65.0,0.0,12.077419354838709,11.3
2010,88,Drink,Cool year resulted in uneven quality; best wines are tight and concentrated,United States,Carneros Valley,California/Chardonnay,0.2289747357586941,5.391335232345463,71.0,3.0,0.1916666666666666,6.0,71.0,0.0,12.877688172043008,3.4000000000000004
2009,90,Drink,"Cooler year showing toned-down ripeness, with more finesse and delicacy",United States,Carneros Valley,California/Chardonnay,0.2205391640027424,7.619983324888781,95.0,1.0,0.1048969072164948,21.0,42.0,0.0,11.26021505376344,1.7000000000000002
2008,87,Drink,"Frost and fire didn't spoil the vintage, though quality is variable. Tight, concentrated wines",United States,Carneros Valley,California/Chardonnay,0.2535114205656778,11.955640756064485,83.0,1.0,0.0121993127147766,16.0,66.0,0.0,12.23790322580645,2.0
2007,96,Drink,"Ripe, complex, balanced and ageworthy wines; many brilliant bottles from all appellations",United States,Carneros Valley,California/Chardonnay,0.205556179628455,7.423427944800669,125.0,2.0,0.1018900343642611,13.0,53.0,0.0,12.297580645161291,0.0999999999999999
2006,90,Drink,"Challenging harvest with mixed quality and fewer gems, but hardly a washout",United States,Carneros Valley,California/Chardonnay,0.2750185372515816,3.8361974348922754,121.0,5.0,0.3967353951890034,12.0,49.0,0.0,11.93521505376344,8.5
2005,83,Drink,"Restrained wines; trim and tight, with higher acidity",United States,Carneros Valley,California/Chardonnay,0.2726108016814295,4.715815856284687,89.0,4.0,0.2358247422680412,51.0,63.0,0.0,12.766935483870968,0.8
2004,92,Drink,"Sonoma stars in a ripe, rich, opulent year that rivals 2002",United States,Carneros Valley,California/Chardonnay,0.1886218602083983,11.937889902062228,156.0,2.0,0.0618556701030927,47.0,43.0,0.0,14.036290322580648,0.0
2003,90,Drink,"Leaner, crisper wines than in '02 due to a challenging season, but some gems, too",United States,Carneros Valley,California/Chardonnay,0.2977890512781975,5.220499888813877,109.0,4.0,0.2244845360824742,67.0,58.0,0.0,13.03467741935484,0.0
2002,96,Drink,"Sensational, fleshy, opulent wines; near perfect in Sonoma, strong in Carneros and Napa",United States,Carneros Valley,California/Chardonnay,0.2626103361863862,6.783891536333671,122.0,2.0,0.0907216494845361,43.0,54.0,1.0,13.724193548387095,3.3
2001,93,Drink,"Best in Carneros and Sonoma; concentrated, with firm acidity",United States,Carneros Valley,California/Chardonnay,0.2526470053433997,7.323701473442936,76.0,2.0,0.1128865979381443,51.0,45.0,0.0,12.458870967741934,1.3
2000,96,Drink,Carneros the clear star; wines elsewhere lack depth and completeness,United States,Carneros Valley,California/Chardonnay,0.2433915516284926,10.345823221653248,104.0,2.0,0.0932989690721649,53.0,35.0,0.0,12.033870967741937,3.6
1999,89,Drink,"Sonoma and Santa Barbara are tops, with rich, complex wines",United States,Carneros Valley,California/Chardonnay,0.2946965893814918,7.489670555343003,143.0,3.0,0.1360824742268041,29.0,60.0,0.0,12.082258064516129,0.0
1998,84,Drink,Lean and austere statewide; highly variable,United States,Carneros Valley,California/Chardonnay,0.3268987833707829,3.3886214299517308,69.0,5.0,0.6489690721649485,52.0,52.0,0.0,11.167741935483871,10.3
1997,98,Drink,"Monumental year; very ripe, opulent and complex",United States,Carneros Valley,California/Chardonnay,0.2094675452284419,13.928388277184125,182.0,1.0,0.0273195876288659,36.0,32.0,0.0,12.250806451612902,0.0
1996,96,Drink,Rivals '97 in opulence and concentration; great finesse,United States,Carneros Valley,California/Chardonnay,0.2734391428196958,7.076390988763414,128.0,2.0,0.1103092783505154,61.0,46.0,0.0,12.562096774193549,0.5
2021,96,Drink or hold,"Windy weather during the long blooming period led to a small crop set, but then warm and very dry conditions ripened everything evenly and easily. Producers picked at their leisure, bringing in small berries and thick skins that produced wines of concentration and structure as well as freshness and purity  Martinelli Pinot Noir Fort Ross-Seaview Blue Slide Ridge Vineyard  Top-scoring wines (click for full tasting note):


Aubert Pinot Noir Sonoma Coast CIX


Aubert Pinot Noir Sonoma Coast UV-SL Vineyard


Martinelli Pinot Noir Fort Ross-Seaview Blue Slide Ridge Vineyard",United States,California,Pinot Noir,0.2711081887610672,6.605233353703687,65.0,6.0,0.15,90.0,55.0,0.0,11.935806451612905,0.1
2020,87*,Drink or hold,"A year to forget for many Northern California producers, with a number of them not releasing wines because of challenging weather conditions, capped by wildfires during harvest leading to issues of smoke taint. Central and Southern California had an outstanding harvest, with a long, even growing season and normal-size crop. Choose carefully from Sonoma; plumb Santa Barbara for the top wines  Ceritas Pinot Noir Sonoma Coast Cuvée Annabele  Top-scoring wines (click for full tasting note):


Kistler Pinot Noir Russian River Valley Cuvée Natalie Silver Belt Vineyard


Calera Pinot Noir Mount Harlan de Villiers Vineyard


Ceritas Pinot Noir Sonoma Coast Cuvée Annabele",United States,California,Pinot Noir,0.2812113971618952,4.734618013525355,125.0,7.0,0.3236254295532646,83.0,44.0,0.0,11.802096774193547,1.5499999999999998
