Vintage,Score,Drink Window,Description,Country,Region,Variety
2002,84,Past peak,"Variable weather, with uneven ripening and reduced yields for whites and reds; some successes, but choose carefully  (See all ratings)",South Africa,South Africa,null
2001,91,Drink,"Late-ripening red varieties have intense fruit, with ripe tannins; whites also good  (See all ratings)",South Africa,South Africa,null
2000,90,Drink,Hot and dry conditions brought an early harvest. Reds performed well; whites more variable  (See all ratings),South Africa,South Africa,null
1999,87,Past peak,Very warm and dry season. Reds have ripe tannins; good whites  (See all ratings),South Africa,South Africa,null
2020,89–92,NYR,"A hot year with disease resulted in a small crop; top wineries using extensive selection produced rich, concentrated wines  Álvaro Palacios Priorat Finca Dofí  Top-scoring wines (click for full tasting note):


Merum Priorati Priorat El Cel


Torres Priorat Mas de la Rosa Vinyes Velles Porrera


Álvaro Palacios Priorat Finca Dofí",Spain,Priorat,Priorat
2019,94,Drink or hold,"A warm, dry year with healthy fruit; rich, balanced wines  Álvaro Palacios Priorat Finca Dofí  Top-scoring wines (click for full tasting note):


Merum Priorati Priorat El Cel


Torres Priorat Mas de la Rosa Vinyes Velles Porrera


Álvaro Palacios Priorat Finca Dofí",Spain,Priorat,Priorat
2018,92,Drink or hold,"Moderate temperatures led to fresh reds with good structure  Perinet Carinyena Priorat Vinya Pendents  Top-scoring wines (click for full tasting note):


Merum Priorati Priorat Destí


Ferrer Bobet Priorat Selecció Especial Vinyes Velles


Perinet Carinyena Priorat Vinya Pendents",Spain,Priorat,Priorat
2017,91,Drink or hold,"Warm, dry year; ripe, plush reds  Álvaro Palacios Priorat Finca Dofí  Top-scoring wines (click for full tasting note):


Merum Priorati Priorat Destí


Torres Priorat Mas de la Rosa Vinyes Velles Porrera


Álvaro Palacios Priorat Finca Dofí",Spain,Priorat,Priorat
2016,94,Drink or hold,"Structured, balanced reds with good aging potential  Torres Priorat Mas de la Rosa Vinyes Velles Porrera  Top-scoring wines (click for full tasting note):


Scala Dei Garnatxa Priorat St.-Antoni


Perinet Priorat 1194


Torres Priorat Mas de la Rosa Vinyes Velles Porrera",Spain,Priorat,Priorat
2015,93,Drink or hold,"Ripe but balanced wines with plenty of fruit  La Conreria d'Scala Dei Priorat Voltons  Top-scoring wines (click for full tasting note):


Vall Llach Priorat Porrera Vi de Vila


Perinet Priorat 1194


La Conreria d'Scala Dei Priorat Voltons",Spain,Priorat,Priorat
2014,90,Drink or hold,"A cool growing season produced fresh, savory reds  Clos Mogador Priorat  Top-scoring wines (click for full tasting note):


Ferrer Bobet Priorat Vinyes Velles


Álvaro Palacios Priorat Les Terrasses Velles Vinyes


Clos Mogador Priorat",Spain,Priorat,Priorat
2013,91,Drink,"Despite a cool, rainy growing season, reds are fresh and focused  Celler Mas Doix Priorat Salanques  Top-scoring wines (click for full tasting note):


Vall Llach Priorat Mas de la Rosa


Scala Dei Garnatxa Priorat Masdeu


Celler Mas Doix Priorat Salanques",Spain,Priorat,Priorat
2012,91,Drink,"A very hot, dry growing season produced concentrated reds  Celler Mas Doix Carignan Priorat 1902  Top-scoring wines (click for full tasting note):


Vall Llach Priorat Mas de la Rosa


Domini de la Cartoixa Priorat Clos Galena


Celler Mas Doix Carignan Priorat 1902",Spain,Priorat,Priorat
2011,88,Drink,"Hot and dry; rich wines, but some are clumsy  (See all ratings)",Spain,Priorat,Priorat
2010,94,Drink,"Fresh, focused reds that are improving with time  (See all ratings)",Spain,Priorat,Priorat
2009,90,Drink,"Quite rich, but balanced, ripe and racy  (See all ratings)",Spain,Priorat,Priorat
2008,87,Drink,"Sleek, with red fruit flavors and supple tannins  (See all ratings)",Spain,Priorat,Priorat
2007,89,Drink,"Supple wines, with red fruit and herbal notes  (See all ratings)",Spain,Priorat,Priorat
2006,90,Drink,"Bright and lively, with good focus and some depth  (See all ratings)",Spain,Priorat,Priorat
2005,93,Drink or hold,"Balanced and expressive, with red fruit and spice flavors  (See all ratings)",Spain,Priorat,Priorat
2004,93,Drink or hold,Ripe and dense; the best marry concentration and elegance  (See all ratings),Spain,Priorat,Priorat
2003,89,Drink,Heat gave ripe fruit and concentration; top wines show great balance  (See all ratings),Spain,Priorat,Priorat
2002,89,Drink,"Despite cool growing season, many wines show ripe, concentrated fruit  (See all ratings)",Spain,Priorat,Priorat
2001,95,Drink or hold,"Fine summer. Ripe, powerful wines are benchmarks for the region  (See all ratings)",Spain,Priorat,Priorat
2000,92,Drink,"Hot, dry summer produced wines with ripe fruit and firm tannins  (See all ratings)",Spain,Priorat,Priorat
2020,92–95,NYR,"Generally ripe, balanced wines whose style was impacted by harvesttime rains; some show power, others elegance  Barona Bodegas y Viñedos Ribera del Duero Francisco Barona  Top-scoring wines (click for full tasting note):


Dominio de Pingus Ribera del Duero


Garmón Continental Ribera del Duero


Barona Bodegas y Viñedos Ribera del Duero Francisco Barona",Spain,Ribera del Duero,Ribera del Duero
2019,92,Drink or hold,"Warm, dry season yielded healthy fruit and concentrated wines  Bodegas & Viñedos Neo Ribera del Duero Punta Esencia  Top-scoring wines (click for full tasting note):


Bodegas Félix Callejo Ribera del Duero Félix Callejo


Bodegas y Viñedos Valderiz Ribera del Duero


Bodegas & Viñedos Neo Ribera del Duero Punta Esencia",Spain,Ribera del Duero,Ribera del Duero
2018,90,Drink,"A cooler year delivered a fresher style of wines  Bodegas Pinea del Duero Ribera del Duero Pinea  Top-scoring wines (click for full tasting note):


Bodegas Emilio Moro Tempranillo Ribera del Duero Malleolus de Sanchomartin


Bodegas Emilio Moro Tempranillo Ribera del Duero Malleolus de Valderramiro


Bodegas Pinea del Duero Ribera del Duero Pinea",Spain,Ribera del Duero,Ribera del Duero
2017,87,Drink or hold,"Spring frost and summer drought produced thick wines, many tough  Dominio de Atauta Ribera del Duero San Juan  Top-scoring wines (click for full tasting note):


Dominio de Atauta Ribera del Duero La Mala


Bodegas y Viñedos Valderiz Ribera del Duero


Dominio de Atauta Ribera del Duero San Juan",Spain,Ribera del Duero,Ribera del Duero
2016,93,Drink or hold,"Ripe yet balanced, with structure and focus  Bodegas Aalto Ribera del Duero PS  Top-scoring wines (click for full tasting note):


Bodegas Emilio Moro Ribera del Duero Clon de la Familia


Bodegas y Viñedos Valderiz Ribera del Duero


Bodegas Aalto Ribera del Duero PS",Spain,Ribera del Duero,Ribera del Duero
2015,92,Drink or hold,"Very hot and dry; powerful wines, some jammy  Bodegas Emilio Moro Tempranillo Ribera del Duero Malleolus de Valderramiro  Top-scoring wines (click for full tasting note):


Bodegas Aalto Ribera del Duero PS


Bodegas Cepa 21 Tempranillo Ribera del Duero Horcajo


Bodegas Emilio Moro Tempranillo Ribera del Duero Malleolus de Valderramiro",Spain,Ribera del Duero,Ribera del Duero
2014,92,Drink or hold,"Rainy, cool conditions produced fresh, savory wines  Bodegas Hnos. Sastre Ribera del Duero Pesus  Top-scoring wines (click for full tasting note):


Bodegas Cepa 21 Ribera del Duero Horcajo


Bodegas Emilio Moro Tempranillo Ribera del Duero Malleolus de Valderramiro


Bodegas Hnos. Sastre Ribera del Duero Pesus",Spain,Ribera del Duero,Ribera del Duero
2013,84,Drink,"A cool, wet growing season led to light wines  Dominio de Atauta Ribera del Duero Valdegatiles  Top-scoring wines (click for full tasting note):


Bodegas Vega Sicilia Ribera del Duero Unico


Dominio de Atauta Ribera del Duero La Mala


Dominio de Atauta Ribera del Duero Valdegatiles",Spain,Ribera del Duero,Ribera del Duero
2012,91,Drink or hold,"Concentrated but inconsistent; some clumsy, a few spectacular  Bodegas Aalto Ribera del Duero PS  Top-scoring wines (click for full tasting note):


Bodegas Vega Sicilia Ribera del Duero Unico


Dominio de Atauta Ribera del Duero Llanos del Almendro


Bodegas Aalto Ribera del Duero PS",Spain,Ribera del Duero,Ribera del Duero
2011,91,Drink or hold,Hot and dry; powerful wines with good balance  (See all ratings),Spain,Ribera del Duero,Ribera del Duero
2010,94,Drink or hold,"Ripe and balanced, fresh and firm  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2009,92,Drink or hold,"Ripe wines, with moderate structures, fresh acidity  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2008,87,Drink,"Balanced, polished wines, with bright fruit and fresh acidity  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2007,86,Drink,"Cool season gave fresh wines, tender and expressive  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2006,88,Drink,"Firm, with ripe fruit and good balance  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2005,95,Drink or hold,Assertive wines with chewy tannins; the best have great depth  (See all ratings),Spain,Ribera del Duero,Ribera del Duero
2004,96,Drink or hold,"Powerful yet balanced, with deep, pure fruit  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2003,89,Drink,Scorching heat gave ripeness; cool nights kept wines fresh  (See all ratings),Spain,Ribera del Duero,Ribera del Duero
2002,85,Drink,"Warm summer, rainy harvest; firm structure, with mineral and earth  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2001,94,Drink or hold,"Powerful wines, with ripe fruit, good balance and great aging potential  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2000,92,Drink,"Balanced, elegant and complex  (See all ratings)",Spain,Ribera del Duero,Ribera del Duero
2020,88–91,NYR,"A hot year with mildew and hail in some areas; well-timed rain during harvest resulted in fresh, approachable wines  Viñedos de Páganos Rioja La Nieta  Top-scoring wines (click for full tasting note):


Bodegas Sierra Cantabria Rioja Finca El Bosque


Bodegas LAN Rioja Edición Limitada


Viñedos de Páganos Rioja La Nieta",Spain,Rioja,Rioja
2019,91,Drink or hold,"Stable conditions led to focused wines with aging potential  Bodegas LAN Rioja Edición Limitada  Top-scoring wines (click for full tasting note):


Bodegas Sierra Cantabria Rioja Amancio


Bodegas Muga Rioja Aro


Bodegas LAN Rioja Edición Limitada",Spain,Rioja,Rioja
2018,89,Drink,"Cooler weather produced fresher wines; some inconsistencies  Bodegas Sierra Cantabria Rioja Finca El Bosque  Top-scoring wines (click for full tasting note):


Baron de Ley Garnacha Blanca Rioja Varietales


Bodegas LAN Rioja Edición Limitada


Bodegas Sierra Cantabria Rioja Finca El Bosque",Spain,Rioja,Rioja
2017,87,Drink or hold,"Difficult growing season led to inconsistent wines  Bodega 202 Rioja Ansa  Top-scoring wines (click for full tasting note):


CVNE Rioja Imperial Gran Reserva


Viñedos de Páganos Rioja La Nieta


Bodega 202 Rioja Ansa",Spain,Rioja,Rioja
2016,91,Drink or hold,"A warm year gave structured and balanced reds  Bodegas Sierra Cantabria Rioja Amancio  Top-scoring wines (click for full tasting note):


Bodegas Artevino Rioja Orben


Bodegas Muga Rioja Torre Muga


Bodegas Sierra Cantabria Rioja Amancio",Spain,Rioja,Rioja
2015,91,Drink or hold,"Hot and dry; structured reds, some hot  Bodegas Sierra Cantabria Rioja Amancio  Top-scoring wines (click for full tasting note):


Bodegas LAN Rioja Culmen Reserva


Bodega 202 Rioja Ansa


Bodegas Sierra Cantabria Rioja Amancio",Spain,Rioja,Rioja
2014,89,Drink or hold,"A cool growing season produced fresh, savory wines  Bodegas Muga Rioja Prado Enea Gran Reserva  Top-scoring wines (click for full tasting note):


Bodegas Artevino Rioja Orben


Bodegas Casa Primicia Rioja Cofradia Reserva


Bodegas Muga Rioja Prado Enea Gran Reserva",Spain,Rioja,Rioja
2013,89,Drink,"A cool, wet growing season; many wines green, diluted  Bodegas Bilbainas Rioja Viña Pomal Reserva  Top-scoring wines (click for full tasting note):


Bodegas LAN Rioja Edición Limitada


Bodegas Beronia Rioja Gran Reserva


Bodegas Bilbainas Rioja Viña Pomal Reserva",Spain,Rioja,Rioja
2012,90,Drink or hold,"Drought reduced yields; powerful wines, but some are clumsy  Viñedos Lacalle y Laorden Rioja Viña El Pison  Top-scoring wines (click for full tasting note):


Bodegas Artevino Rioja Malpuesto


Marqués de Riscal Rioja Frank Gehry Selection Reserva


Viñedos Lacalle y Laorden Rioja Viña El Pison",Spain,Rioja,Rioja
2011,89,Drink,"Dry, sunny growing season produced ripe reds  (See all ratings)",Spain,Rioja,Rioja
2010,94,Drink or hold,"Ripe, balanced wines, fresh and focused  (See all ratings)",Spain,Rioja,Rioja
2009,91,Drink or hold,Hot and dry season; solid wines with ripe fruit  (See all ratings),Spain,Rioja,Rioja
2008,88,Drink,"Balanced wines, focused and expressive, with bright acidity  (See all ratings)",Spain,Rioja,Rioja
2007,84,Drink,Cool growing season; many light wines  (See all ratings),Spain,Rioja,Rioja
2006,82,Drink,"Fresh, supple wines with crisp flavors  (See all ratings)",Spain,Rioja,Rioja
2005,93,Drink or hold,"Lively, balanced and graceful; firm yet expressive  (See all ratings)",Spain,Rioja,Rioja
2004,93,Drink or hold,"Balanced, with ripe black fruit flavors and lively acidity  (See all ratings)",Spain,Rioja,Rioja
2003,86,Drink,"Hot year. Ripe fruit with good concentration, but some overripeness  (See all ratings)",Spain,Rioja,Rioja
2002,84,Past peak,"Cool summer, rainy harvest, low yields. Best wines are ripe and concentrated  (See all ratings)",Spain,Rioja,Rioja
2001,93,Drink or hold,"Hot, dry weather gave ripe wines with opulent flavors and powerful structure  (See all ratings)",Spain,Rioja,Rioja
2000,85,Drink,"Huge yields. Top producers made good wines, but others are light  (See all ratings)",Spain,Rioja,Rioja
2021,92,Drink,Another drought year with low yields; the best wines are fresh and intense,United States,Napa,California/Chardonnay
2020,92,Drink,"A dry year yielded concentrated, balanced wines; most Chardonnay picked before the wildfires",United States,Napa,California/Chardonnay
2019,92,Drink,Warmer weather than in 2018 produced wines with a deep well of fruit and spice flavors,United States,Napa,California/Chardonnay
2018,90,Drink,Nearly ideal conditions delivered wines with concentrated fruit flavors and crunchy acidity,United States,Napa,California/Chardonnay
2017,90,Drink,Ample winter rain followed by a warm growing season yielded complex and powerful wines,United States,Napa,California/Chardonnay
2016,89,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,United States,Napa,California/Chardonnay
2015,89,Drink,Sonoma strong again in another drought year; elegant and refined in style,United States,Napa,California/Chardonnay
2014,92,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",United States,Napa,California/Chardonnay
2013,93,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",United States,Napa,California/Chardonnay
2012,94,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",United States,Napa,California/Chardonnay
2011,89,Drink,"Cool and damp, challenging everywhere; best wines are elegant and scaled back",United States,Napa,California/Chardonnay
2010,92,Drink,Cool year resulted in uneven quality; best wines are tight and concentrated,United States,Napa,California/Chardonnay
2009,94,Drink,"Cooler year showing toned-down ripeness, with more finesse and delicacy",United States,Napa,California/Chardonnay
2008,92,Drink,"Frost and fire didn't spoil the vintage, though quality is variable. Tight, concentrated wines",United States,Napa,California/Chardonnay
2007,95,Drink,"Ripe, complex, balanced and ageworthy wines; many brilliant bottles from all appellations",United States,Napa,California/Chardonnay
2006,88,Drink,"Challenging harvest with mixed quality and fewer gems, but hardly a washout",United States,Napa,California/Chardonnay
2005,89,Drink,"Restrained wines; trim and tight, with higher acidity",United States,Napa,California/Chardonnay
2004,92,Drink,"Sonoma stars in a ripe, rich, opulent year that rivals 2002",United States,Napa,California/Chardonnay
2003,89,Drink,"Leaner, crisper wines than in '02 due to a challenging season, but some gems, too",United States,Napa,California/Chardonnay
2002,94,Drink,"Sensational, fleshy, opulent wines; near perfect in Sonoma, strong in Carneros and Napa",United States,Napa,California/Chardonnay
2001,87,Drink,"Best in Carneros and Sonoma; concentrated, with firm acidity",United States,Napa,California/Chardonnay
2000,87,Drink,Carneros the clear star; wines elsewhere lack depth and completeness,United States,Napa,California/Chardonnay
1999,87,Drink,"Sonoma and Santa Barbara are tops, with rich, complex wines",United States,Napa,California/Chardonnay
1998,84,Drink,Lean and austere statewide; highly variable,United States,Napa,California/Chardonnay
1997,96,Drink,"Monumental year; very ripe, opulent and complex",United States,Napa,California/Chardonnay
1996,95,Drink,Rivals '97 in opulence and concentration; great finesse,United States,Napa,California/Chardonnay
2020,88,Drink or hold,"Extremely dry and hot conditions across the state, with a series of devastating wildfires in August and September that covered much of wine country in smoke for extended periods",United States,Napa,California/Merlot
2018,91,Drink or hold,"Amid moderate growing conditions, valley floor sites yielded fleshy, big-textured wines, while mountain vineyards delivered focused minerality and firm structure",United States,Napa,California/Merlot
2017,92,Drink or hold,"A late-season heat wave challenged vintners; the best wines are big, ripe and powerful, with taut tannins",United States,Napa,California/Merlot
2016,94,Drink or hold,Nearly ideal weather results in plush flavors and structures supported by medium-grained tannins,United States,Napa,California/Merlot
2015,91,Drink or hold,"Small crop from another drought vintage; firmly tannic, with deep dark fruit and spice flavors",United States,Napa,California/Merlot
2013,90,Drink,Sunny weather and a long growing season led to fruit-forward wines,United States,Napa,California/Merlot
2012,91,Drink,"Long, warm growing season produced rich, ripe and easy-drinking wines",United States,Napa,California/Merlot
2011,87,Drink,"Rainy and cool year; many wines have hard tannins, herbal flavors",United States,Napa,California/Merlot
2010,87,Drink,Extremely cool season; many wines are herbal and have unripe tannins,United States,Napa,California/Merlot
2008,89,Drink,Top producers made superior wines while others struggled in a cool year,United States,Napa,California/Merlot
2007,89,Drink,Supple and appealing wines from Napa; Sonoma offers value,United States,Napa,California/Merlot
2006,92,Drink,"Inconsistent; best are rich and supple, but many are lean and herbal",United States,Napa,California/Merlot
2004,87,Drink,"The best are supple, rich and complex; a step above the 2003s",United States,Napa,California/Merlot
2003,85,Past peak,Tight and tannic wines; best to decant,United States,Napa,California/Merlot
2002,89,Past peak,"About as good as it gets in Napa, with Sonoma lagging",United States,Napa,California/Merlot
2000,83,Past peak,Mixed in both regions,United States,Napa,California/Merlot
1998,82,Past peak,"Marked by lean, hollow wines",United States,Napa,California/Merlot
1997,86,Past peak,"Ripe, opulent and supple wines",United States,Napa,California/Merlot
1996,88,Past peak,"Best overall for Napa, with rich, structured wines",United States,Napa,California/Merlot
2020,84,Drink or hold,"Vines were stressed by a hot, dry summer, while wildfires throughout California raised concerns about smoke taint",United States,Napa,California/Rhône-Style Reds
2018,92,Drink or hold,A goldilocks vintage with a flawless growing season that allowed winemakers to craft impressive wines,United States,Napa,California/Rhône-Style Reds
2015,94,Drink or hold,"Challenged by a warm season marked by heat spikes, winemakers managed to retain elegance and aromatics",United States,Napa,California/Rhône-Style Reds
2014,93,Drink or hold,"Similar to the 2013s, but more ripe, more full-bodied and in some regions more tannic",United States,Napa,California/Rhône-Style Reds
2013,94,Drink or hold,Nearly ideal growing season with lots of sunshine but few heat spikes; wines are expressive early but show aging potential,United States,Napa,California/Rhône-Style Reds
2012,93,Drink or hold,Record-sized crop with firmly tannic wines and some real beauties; should reward time in the cellar,United States,Napa,California/Rhône-Style Reds
2010,93,Drink,"A cool, late harvest, but amazingly ripe and full-bodied wines",United States,Napa,California/Rhône-Style Reds
2009,92,Drink,"Fabulous wines throughout despite a challenging season; the ripeness is there, even if it came late",United States,Napa,California/Rhône-Style Reds
2008,91,Drink,"A tough start ended with glorious wines statewide, rivaling 2007 for complexity, depth and finesse",United States,Napa,California/Rhône-Style Reds
2006,93,Drink,"A golden vintage, fabulous acoss all regions, offering great diversity of styles",United States,Napa,California/Rhône-Style Reds
2005,92,Drink,"Intense, structured, high-quality wines",United States,Napa,California/Rhône-Style Reds
2004,97,Drink,"A superb vintage, particularly in Napa; concentrated, intense and complex wines",United States,Napa,California/Rhône-Style Reds
2003,90,Drink,"Dark, intense, structured and concentrated",United States,Napa,California/Rhône-Style Reds
2002,96,Drink,"Tremendous in Napa and Sonoma; dark, rich and plush",United States,Napa,California/Rhône-Style Reds
2001,97,Drink,"Solid in all regions, with an edge to Napa; intense and concentrated wines",United States,Napa,California/Rhône-Style Reds
2000,93,Drink,"Strong in Napa, showing that Syrah doesn't always run with Cabernet",United States,Napa,California/Rhône-Style Reds
2021,91–94,NYR,"Warm season amid ongoing drought, but moderate fall temperatures led to elegant, balanced wines",United States,Napa,California/Zinfandel
2020,89,Drink or hold,Highly variable due to extreme heat and wildfire smoke. Wines are dark and often angular; shop carefully,United States,Napa,California/Zinfandel
2019,93,Drink or hold,"A warm growing season that produced supple, juicy, fruit-filled wines for short-term drinking",United States,Napa,California/Zinfandel
2016,92,Drink or hold,"Akin to the 2015s, with the best showing polish and plush textures",United States,Napa,California/Zinfandel
2015,92,Drink or hold,Jammed with fruit; more concentrated and ageable than 2014,United States,Napa,California/Zinfandel
2013,91,Drink,Lively but concentrated wines with good structure built for long-term drinking,United States,Napa,California/Zinfandel
2012,89,Drink,"Fruit-forward, soft and approachable",United States,Napa,California/Zinfandel
2010,88,Drink,"Tough growing season; quality varies, but many flavorful, well-balanced wines",United States,Napa,California/Zinfandel
2008,94,Drink,"Eccentric growing season, but wines show surprising richness and balance",United States,Napa,California/Zinfandel
2007,92,Drink,"Growing season was ideal; wines are supple and elegantly ripe, but with good backbone",United States,Napa,California/Zinfandel
2006,90,Drink,"Top wines are fruit-forward, elegant and balanced; well-structured",United States,Napa,California/Zinfandel
2005,91,Drink,"Complex, well-structured wines with tannins built for aging",United States,Napa,California/Zinfandel
2004,85,Drink,Warm year produced jammy wines; ripeness often over the top,United States,Napa,California/Zinfandel
2021,94,Drink,Another drought year with low yields; the best wines are fresh and intense,United States,Santa Barbara,California/Chardonnay
2020,93,Drink,"A dry year yielded concentrated, balanced wines; most Chardonnay picked before the wildfires",United States,Santa Barbara,California/Chardonnay
2019,91,Drink,Warmer weather than in 2018 produced wines with a deep well of fruit and spice flavors,United States,Santa Barbara,California/Chardonnay
2018,93,Drink,Nearly ideal conditions delivered wines with concentrated fruit flavors and crunchy acidity,United States,Santa Barbara,California/Chardonnay
2017,91,Drink,Ample winter rain followed by a warm growing season yielded complex and powerful wines,United States,Santa Barbara,California/Chardonnay
2016,89,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,United States,Santa Barbara,California/Chardonnay
2015,90,Drink,Sonoma strong again in another drought year; elegant and refined in style,United States,Santa Barbara,California/Chardonnay
2014,87,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",United States,Santa Barbara,California/Chardonnay
2013,88,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",United States,Santa Barbara,California/Chardonnay
2012,88,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",United States,Santa Barbara,California/Chardonnay
2011,85,Drink,"Cool and damp, challenging everywhere; best wines are elegant and scaled back",United States,Santa Barbara,California/Chardonnay
2010,87,Drink,Cool year resulted in uneven quality; best wines are tight and concentrated,United States,Santa Barbara,California/Chardonnay
2009,91,Drink,"Cooler year showing toned-down ripeness, with more finesse and delicacy",United States,Santa Barbara,California/Chardonnay
2008,86,Drink,"Frost and fire didn't spoil the vintage, though quality is variable. Tight, concentrated wines",United States,Santa Barbara,California/Chardonnay
2007,89,Drink,"Ripe, complex, balanced and ageworthy wines; many brilliant bottles from all appellations",United States,Santa Barbara,California/Chardonnay
2006,82,Drink,"Challenging harvest with mixed quality and fewer gems, but hardly a washout",United States,Santa Barbara,California/Chardonnay
2005,86,Drink,"Restrained wines; trim and tight, with higher acidity",United States,Santa Barbara,California/Chardonnay
2004,89,Drink,"Sonoma stars in a ripe, rich, opulent year that rivals 2002",United States,Santa Barbara,California/Chardonnay
2003,88,Drink,"Leaner, crisper wines than in '02 due to a challenging season, but some gems, too",United States,Santa Barbara,California/Chardonnay
2002,92,Drink,"Sensational, fleshy, opulent wines; near perfect in Sonoma, strong in Carneros and Napa",United States,Santa Barbara,California/Chardonnay
2001,89,Drink,"Best in Carneros and Sonoma; concentrated, with firm acidity",United States,Santa Barbara,California/Chardonnay
2000,86,Drink,Carneros the clear star; wines elsewhere lack depth and completeness,United States,Santa Barbara,California/Chardonnay
1999,93,Drink,"Sonoma and Santa Barbara are tops, with rich, complex wines",United States,Santa Barbara,California/Chardonnay
1998,83,Drink,Lean and austere statewide; highly variable,United States,Santa Barbara,California/Chardonnay
1997,96,Drink,"Monumental year; very ripe, opulent and complex",United States,Santa Barbara,California/Chardonnay
1996,98,Drink,Rivals '97 in opulence and concentration; great finesse,United States,Santa Barbara,California/Chardonnay
2021,93,Drink or hold,"Dry summer was seasonably warm, with weather cooling after a heat spike near Memorial Day, allowing the grapes time to fully mature",United States,Santa Barbara,California/Rhône-Style Reds
2020,92,Drink or hold,"Vines were stressed by a hot, dry summer, while wildfires throughout California raised concerns about smoke taint",United States,Santa Barbara,California/Rhône-Style Reds
2019,95,Drink or hold,Warm but extended growing season produced rich wines with polished tannins; best in the Central Coast,United States,Santa Barbara,California/Rhône-Style Reds
2018,94,Drink or hold,A goldilocks vintage with a flawless growing season that allowed winemakers to craft impressive wines,United States,Santa Barbara,California/Rhône-Style Reds
2017,90,Drink or hold,"Dramatic weather conditions, from floods to heat waves to wildfires, add up to a variable and challenging vintage",United States,Santa Barbara,California/Rhône-Style Reds
2016,92,Drink or hold,A textbook vintage with nearly ideal growing conditions throughout the year,United States,Santa Barbara,California/Rhône-Style Reds
2015,91,Drink or hold,"Challenged by a warm season marked by heat spikes, winemakers managed to retain elegance and aromatics",United States,Santa Barbara,California/Rhône-Style Reds
2014,92,Drink or hold,"Similar to the 2013s, but more ripe, more full-bodied and in some regions more tannic",United States,Santa Barbara,California/Rhône-Style Reds
2013,92,Drink or hold,Nearly ideal growing season with lots of sunshine but few heat spikes; wines are expressive early but show aging potential,United States,Santa Barbara,California/Rhône-Style Reds
2011,87,Drink,"A damp, cool year led to mixed results. Off the pace of best years, yet there are pockets of success; early drinkers",United States,Santa Barbara,California/Rhône-Style Reds
2009,92,Drink,"Fabulous wines throughout despite a challenging season; the ripeness is there, even if it came late",United States,Santa Barbara,California/Rhône-Style Reds
2008,91,Drink,"A tough start ended with glorious wines statewide, rivaling 2007 for complexity, depth and finesse",United States,Santa Barbara,California/Rhône-Style Reds
2007,95,Drink,"Tremendous quality and uncommon complexity statewide; the best on record, along with 2009 and 2006",United States,Santa Barbara,California/Rhône-Style Reds
2006,94,Drink,"A golden vintage, fabulous acoss all regions, offering great diversity of styles",United States,Santa Barbara,California/Rhône-Style Reds
2005,89,Drink,"Intense, structured, high-quality wines",United States,Santa Barbara,California/Rhône-Style Reds
2004,86,Drink,"A superb vintage, particularly in Napa; concentrated, intense and complex wines",United States,Santa Barbara,California/Rhône-Style Reds
2003,89,Drink,"Dark, intense, structured and concentrated",United States,Santa Barbara,California/Rhône-Style Reds
2002,85,Drink,"Tremendous in Napa and Sonoma; dark, rich and plush",United States,Santa Barbara,California/Rhône-Style Reds
2001,87,Drink,"Solid in all regions, with an edge to Napa; intense and concentrated wines",United States,Santa Barbara,California/Rhône-Style Reds
2000,85,Drink,"Strong in Napa, showing that Syrah doesn't always run with Cabernet",United States,Santa Barbara,California/Rhône-Style Reds
2021,95,Drink,Another drought year with low yields; the best wines are fresh and intense,United States,Sonoma,California/Chardonnay
2020,94,Drink,"A dry year yielded concentrated, balanced wines; most Chardonnay picked before the wildfires",United States,Sonoma,California/Chardonnay
2019,96,Drink,Warmer weather than in 2018 produced wines with a deep well of fruit and spice flavors,United States,Sonoma,California/Chardonnay
2018,95,Drink,Nearly ideal conditions delivered wines with concentrated fruit flavors and crunchy acidity,United States,Sonoma,California/Chardonnay
2017,93,Drink,Ample winter rain followed by a warm growing season yielded complex and powerful wines,United States,Sonoma,California/Chardonnay
2016,90,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,United States,Sonoma,California/Chardonnay
2015,90,Drink,Sonoma strong again in another drought year; elegant and refined in style,United States,Sonoma,California/Chardonnay
2014,92,Drink,"Drought produced spartan crop; fine quality, with yields the only disappointment",United States,Sonoma,California/Chardonnay
2013,93,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",United States,Sonoma,California/Chardonnay
2012,93,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",United States,Sonoma,California/Chardonnay
