Vintage,Score,Drink Window,Description,Country,Region,Variety
1997,98,Drink,"Monumental year; very ripe, opulent and complex",United States,Carneros,California/Chardonnay
1996,96,Drink,Rivals '97 in opulence and concentration; great finesse,United States,Carneros,California/Chardonnay
2021,96,Drink or hold,"Windy weather during the long blooming period led to a small crop set, but then warm and very dry conditions ripened everything evenly and easily. Producers picked at their leisure, bringing in small berries and thick skins that produced wines of concentration and structure as well as freshness and purity  Martinelli Pinot Noir Fort Ross-Seaview Blue Slide Ridge Vineyard  Top-scoring wines (click for full tasting note):


Aubert Pinot Noir Sonoma Coast CIX


Aubert Pinot Noir Sonoma Coast UV-SL Vineyard


Martinelli Pinot Noir Fort Ross-Seaview Blue Slide Ridge Vineyard",United States,California,Pinot Noir
2020,87*,Drink or hold,"A year to forget for many Northern California producers, with a number of them not releasing wines because of challenging weather conditions, capped by wildfires during harvest leading to issues of smoke taint. Central and Southern California had an outstanding harvest, with a long, even growing season and normal-size crop. Choose carefully from Sonoma; plumb Santa Barbara for the top wines  Ceritas Pinot Noir Sonoma Coast Cuvée Annabele  Top-scoring wines (click for full tasting note):


Kistler Pinot Noir Russian River Valley Cuvée Natalie Silver Belt Vineyard


Calera Pinot Noir Mount Harlan de Villiers Vineyard


Ceritas Pinot Noir Sonoma Coast Cuvée Annabele",United States,California,Pinot Noir
2019,95,Hold,"A benchmark vintage for California Pinot, with wines showing power, finesse and the structure for cellaring; moderate temperatures and an even-keeled season led to a leisurely harvest, while crop size was on the lower side  Aubert Pinot Noir Sonoma Coast UV-SL Vineyard  Top-scoring wines (click for full tasting note):


Paul Hobbs Pinot Noir Sonoma Coast Goldrock Estate


Rivers-Marie Pinot Noir Sonoma Coast Summa Old Vines


Aubert Pinot Noir Sonoma Coast UV-SL Vineyard",United States,California,Pinot Noir
2018,91,Drink or hold,"Nearly perfect conditions resulted in fruit-driven and very expressive Pinots, yet the huge crop load means wines have notably less structure and energy than 2019  Brewer-Clifton Pinot Noir Sta. Rita Hills Machado  Top-scoring wines (click for full tasting note):


Ceritas Pinot Noir Sonoma Coast Occidental


Aubert Pinot Noir Sonoma Coast UV Vineyard


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado",United States,California,Pinot Noir
2017,88,Drink or hold,"Spring rains, a warm summer and a September heat wave yielded wines that are showy up front, but mostly lack structure; only Santa Lucia Highlands bucked the trend  Blue Farm Pinot Noir Sonoma Valley Anne Katherina Vineyard Farmhouse  Top-scoring wines (click for full tasting note):


Arista Pinot Noir Russian River Valley Harper's Rest


Aubert Pinot Noir Sonoma Coast UV-SL Vineyard


Blue Farm Pinot Noir Sonoma Valley Anne Katherina Vineyard Farmhouse",United States,California,Pinot Noir
2016,92,Drink or hold,"Multiyear drought ends as winter rains return; a warm spring and moderate summer delivered elegant wines  Ferren Pinot Noir Sonoma Coast Frei Road Vineyard  Top-scoring wines (click for full tasting note):


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado


Donum Pinot Noir Russian River Valley Single Vineyard Reserve


Ferren Pinot Noir Sonoma Coast Frei Road Vineyard",United States,California,Pinot Noir
2015,89,Drink or hold,"Santa Barbara and Santa Lucia Highlands shine in a year marked by a large crop of tannic wines  Rochioli Pinot Noir Russian River Valley River Block  Top-scoring wines (click for full tasting note):


Aubert Pinot Noir Sonoma Coast UV Vineyard


Brewer-Clifton Pinot Noir Sta. Rita Hills Machado


Rochioli Pinot Noir Russian River Valley River Block",United States,California,Pinot Noir
2014,91,Drink,"Even higher yields than 2013, with fleshy, forward, showy wines; Santa Lucia Highlands is a step ahead of the pack  Arista Pinot Noir Russian River Valley Mononi Vineyard  Top-scoring wines (click for full tasting note):


Marcassin Pinot Noir Sonoma Coast Marcassin Vineyard


Arista Pinot Noir Russian River Valley Longbow


Arista Pinot Noir Russian River Valley Mononi Vineyard",United States,California,Pinot Noir
